account_id,state,type,balance,created_date,account_users,account_tier
1c00b842-801a-4fb3-8b75-055f234a5f5a,Arizona,INS04,1310351,4/28/2022,9,gold
dfa198b4-24bd-42d0-86dd-ded418be0a33,Tennessee,INV021,1055369,9/13/2022,7,silver
fdc7207b-d20f-4bee-8d0d-b9f06e250768,Florida,FIN013,1360902,5/16/2023,4,gold
e64bdb05-a6bc-4ac9-b8fa-9d456ff92bd7,Texas,FIN013,1313147,11/29/2022,5,platinum
03e55c70-1b1f-42bc-a739-148d9a6f8f1e,Arizona,FIN019,1015473,2/1/2023,3,employee
3e96b076-7208-4fb8-acff-d9c9aef491d6,Georgia,INS04,1300862,5/19/2023,8,platinum
21d1c76c-55e0-4d83-a740-cb096198bb7c,Nevada,INS05,1147699,11/19/2022,7,employee
afcaca65-a0a8-492e-b303-b8084a878f90,Texas,INS05,1280923,7/28/2023,6,silver
8f28322f-1ab6-4c89-a4e4-951bbad36928,Michigan,FIN013,92738,8/3/2023,7,bronze
1d114f73-67ed-43ae-9533-d02d7307c099,Oklahoma,FIN014,642415,3/7/2023,5,gold
d44c1b12-0239-4ca0-b3c6-271c55431341,Louisiana,FIN018,1062960,6/29/2022,3,silver
eb7cdf19-3dfb-4650-a45b-f7a43977f783,Minnesota,INS011,439144,7/8/2022,4,bronze
b38f5a15-02d5-4a6b-aa4a-5c31ca94290d,Nevada,INS06,308036,2/2/2022,6,silver
6cffcfe4-357a-457f-ba06-b9036be2c12a,California,INS08,1145631,3/31/2022,10,bronze
06847d6d-6515-4565-9a6c-2ea3ecf98519,Virginia,INV023,720408,2/25/2022,9,silver
eab57364-78bf-4eb1-9575-e69c80b6ee03,Georgia,INV024,796272,1/5/2023,3,silver
7e4a4b18-a2cd-46c7-83a8-e7a1f5e4eedb,Alabama,FIN015,26154,4/30/2022,1,platinum
bfb5c30e-4b2d-4bd3-972d-624ebc86f3e8,New York,INS02,421619,7/18/2022,10,platinum
95fd05e9-402b-422c-a334-5797130100dd,Colorado,INS08,1194866,9/16/2022,7,gold
6338ed0b-eac4-4edc-aed6-7b36a82a6e1f,Kentucky,FIN019,598105,6/8/2022,3,silver
6c90f2b4-e46b-4f5f-b393-3632a85bde17,North Carolina,FIN014,205767,4/14/2022,7,platinum
f3ecc59d-b049-49ac-b892-ca0b02384d67,District of Columbia,INS05,80808,10/21/2022,9,bronze
2642a1c1-39cf-45b0-ac37-898690a2f833,Nevada,INS05,393719,8/4/2022,10,employee
2906cecf-b6c8-471e-9b7e-0a597ee8568a,California,INS07,535290,6/17/2022,10,platinum
b453afb6-d917-4519-96e2-7e89035ad777,Missouri,INS04,1082572,8/7/2022,1,silver
e8e6bc0d-99eb-41ce-b1cd-4cd25cb128de,New York,INV021,827868,4/5/2022,2,bronze
5f33124d-2484-4c94-88b8-22475befbd3a,Texas,INS08,432622,7/24/2022,3,gold
7a00e332-23d2-469b-bde9-87252c0536b8,California,FIN014,1464809,4/1/2022,9,bronze
5e5d942e-a734-4d76-9302-4fbaf5c8c913,Texas,INV022,766955,2/18/2022,2,platinum
60f2711d-3ce7-4bde-8547-40dd0a58909f,New Jersey,INV020,21139,11/28/2022,6,bronze
43dfff46-1886-4d85-9434-47b30c9231d9,Texas,FIN017,1414205,11/25/2022,1,gold
79093e04-f22c-4415-a08b-a8e341df03b8,Wisconsin,INS012,379347,7/7/2023,2,gold
40361600-9480-4a8d-b5dd-0fcf1cc88d3c,Indiana,INS08,1149264,11/1/2022,10,silver
6d3b41a7-31b3-45b4-813f-df0c2915c726,Texas,INS011,255555,9/5/2022,2,silver
